Row,AP1Amplitude,AP2Amplitude,AP12AmplitudeDrop,AP12AmplitudeChangePercent,AP1SSAmplitudeChange,AP1WidthHalfHeight,AP2WidthHalfHeight,AP12HalfWidthChangePercent,AP1WidthPeakToTrough,AP2WidthPeakToTrough,AP1RateOfChangePeakToTrough,AP2RateOfChangePeakToTrough,AP12RateOfChangePeakToTroughPercentChange,AP1AHPDepth,AP2AHPDepth,AP12AHPDepthPercentChange,AP1DelayMean,AP2DelayMean,AP1DelaySD,AP2DelaySD,AP1DelayMeanStrongStim,AP2DelayMeanStrongStim,AP1DelaySDStrongStim,AP2DelaySDStrongStim,Burst1ISIMean,Burst1ISIMeanStrongStim,Burst1ISISD,Burst1ISISDStrongStim,InitialAccommodationMean,SSAccommodationMean,AccommodationRateToSS,AccommodationAtSSMean,AccommodationRateMeanAtSS,ISIMedian,ISICV,ISIBurstMeanChange,SpikeRateStrongStim,InputResistance,PCA1_Cluster,Cluster
1045,87.83027314,86.89930667,2.391599722,3.250827998,3.028096722,-0.342490309,-0.371063681,-2.857142857,0.978326123,0.963174318,4.184750586,4.193291841,4.708367779,19.53374286,18.79028,4.917375312,4.631422557,4.740662155,0,0,3.734091797,3.907211448,0,0,2.313030351,2.101692151,0,0,-87.5,-75,-0.135432843,-111.0932841,143.1810602,4.779543573,0.701873707,5.267234395,3.496507561,5.862754437,0,A
1046,87.95153143,84.94669333,2.565321449,3.338194135,3.02255407,-0.328504067,-0.400477567,-7.042253521,0.959350221,0.924258902,4.194667192,4.198774777,4.70427229,17.23242857,14.77241333,4.837662225,4.63122772,4.717158688,0,0,3.734091797,3.87660306,0,0,2.017566138,1.90434383,0,0,-88.46153846,-96.15384615,-1,-100.0003655,3587493.045,2.302585093,0.356141546,5.26642477,3.881563798,5.862754437,0,A
1047,90.584704,0,4.611000198,4.826325701,4.715783977,-0.314710745,-4.605170186,-100,1.313723668,0,3.784918844,0,2.302585093,26.46259964,0,3.700055262,4.328889536,7.604510941,0,0,3.663561646,4.10660246,0,0,7.602428794,7.602196622,0,0,-100,-100,-1,-100,2000,7.602735778,0,5.289868312,0.693147181,5.971508982,1,B
1048,87.67934667,87.90942598,2.279308349,3.198237609,3.058593066,-0.356674944,-0.356674944,-3.22E-14,1.091923301,1.095273387,4.075797759,4.071095235,4.696132277,26.9576,26.75662545,4.939526033,2.894806355,3.759570882,0,0,1.998773639,2.865623588,0,0,3.228033763,2.373043557,0,0,-44.44444444,-44.44444444,-0.121125131,-77.86370387,148.9951748,4.317488114,1.648170399,5.383407897,4.448516376,3.767011264,0,A
1049,62.88228933,60.3144,2.531145095,3.361603351,3.16328982,0.636576829,0.717839793,8.510638298,2.7047113,2.821378886,2.014392272,1.89494647,4.574794147,27.73928724,28.99023843,4.976452412,3.338257582,4.81462041,0,0,2.192770227,3.606584211,0,0,4.561845061,3.488292089,0,0,0,0,0,-4.688850759,17.82789849,4.591172676,4.59154369,5.314254081,3.36729583,6.980806019,0,A
1050,95.32798818,94.46281,2.385563013,3.244906966,3.090420362,0.364643114,0.364643114,-1.55E-14,1.501852702,1.515127233,3.562248532,3.541854861,4.681411836,24.17781915,24.57192,4.956387109,2.028148247,4.338335946,0,0,1.029619417,2.815408719,0,0,4.250920869,2.886475288,0,0,0,0,0,-7.973465241,12.88398101,4.29837325,4.225150366,5.332445117,3.795489189,3.281651202,0,A
1051,95.90942051,95.06545333,2.383608905,3.243830064,3.100982081,0.350656872,0.343589704,-0.709219858,1.501852702,1.510721939,3.571051883,3.556654661,4.68701949,24.68394215,25.1160825,4.957236162,2.095560924,4.380400313,0,0,1.098612289,2.87356464,0,0,4.287166354,2.975529566,0,0,-16.66666667,-16.66666667,-0.114982178,-7.231265209,13.03723246,4.33073334,4.304539639,5.328273363,3.725693427,3.384229687,0,A
1052,95.54430222,95.26484429,2.330147529,3.22064357,3.055050787,0.31481074,0.31481074,0,1.492904096,1.501852702,3.593050311,3.578965228,4.687319537,26.39515378,26.31432821,4.942665656,2.208274414,4.45423101,0,0,1.229640551,2.998229154,0,0,4.351696285,3.135494216,0,0,-16.66666667,-16.66666667,-0.107098488,-6.012275449,12.86421807,4.388753955,4.450617273,5.321535383,3.597312261,3.427795412,0,A
1053,95.53063,94.82997,2.370305422,3.238097203,3.106359786,0.350656872,0.343589704,-0.709219858,1.504077397,1.512927012,3.564832347,3.550162404,4.686762133,24.636722,24.88919,4.952118093,2.068127782,4.369194656,0,0,1.057790294,2.849549763,0,0,4.278816583,2.944702102,0,0,-16.66666667,-16.66666667,-0.116127834,-7.395770782,1.071388635,4.322807275,4.282124034,5.329602079,3.749504076,3.376948341,0,A
1054,94.17362,94.48857333,2.270583115,3.195292032,3.041509557,0.350656872,0.350656872,0,1.510721939,1.526056303,3.554290192,3.531324084,4.679003287,25.71574933,24.92047667,4.922583293,2.122261539,4.399375273,0,0,1.105256831,2.897568025,0,0,4.304470416,3.010620886,0,0,0,0,0,-6.940752988,0.501279194,4.346140356,4.344297546,5.326983593,3.701301974,3.224673825,0,A
