,Model_ID,Name
309,NMLCL000388,Layer 6 Burst Non-accommodating Large Basket Cell (2)
310,NMLCL000389,Layer 6 Burst Non-accommodating Large Basket Cell (3)
311,NMLCL000390,Layer 6 Burst Non-accommodating Large Basket Cell (4)
312,NMLCL000391,Layer 6 Burst Non-accommodating Large Basket Cell (5)
313,NMLCL000392,Layer 6 Burst Non-accommodating Martinotti Cell (1)
314,NMLCL000393,Layer 6 Burst Non-accommodating Martinotti Cell (2)
315,NMLCL000394,Layer 6 Burst Non-accommodating Martinotti Cell (3)
316,NMLCL000395,Layer 6 Burst Non-accommodating Martinotti Cell (4)
317,NMLCL000396,Layer 6 Burst Non-accommodating Martinotti Cell (5)
318,NMLCL000397,Layer 6 Burst Non-accommodating Neurogliaform Cell (1)
319,NMLCL000398,Layer 6 Burst Non-accommodating Neurogliaform Cell (2)
320,NMLCL000399,Layer 6 Burst Non-accommodating Neurogliaform Cell (3)
321,NMLCL000400,Layer 6 Burst Non-accommodating Neurogliaform Cell (4)
322,NMLCL000401,Layer 6 Burst Non-accommodating Neurogliaform Cell (5)
323,NMLCL000402,Layer 6 Burst Non-accommodating Small Basket Cell (1)
324,NMLCL000403,Layer 6 Burst Non-accommodating Small Basket Cell (2)
325,NMLCL000404,Layer 6 Burst Non-accommodating Small Basket Cell (3)
326,NMLCL000405,Layer 6 Burst Non-accommodating Small Basket Cell (4)
327,NMLCL000406,Layer 6 Burst Non-accommodating Small Basket Cell (5)
328,NMLCL000407,Layer 4 Burst Stuttering Bitufted Cell (1)
329,NMLCL000408,Layer 4 Burst Stuttering Bitufted Cell (2)
330,NMLCL000409,Layer 4 Burst Stuttering Bitufted Cell (3)
331,NMLCL000410,Layer 4 Burst Stuttering Bitufted Cell (4)
332,NMLCL000411,Layer 4 Burst Stuttering Bitufted Cell (5)
333,NMLCL000412,Layer 4 Burst Stuttering Double Bouquet Cell (1)
334,NMLCL000413,Layer 4 Burst Stuttering Double Bouquet Cell (2)
335,NMLCL000414,Layer 4 Burst Stuttering Double Bouquet Cell (3)
336,NMLCL000415,Layer 4 Burst Stuttering Double Bouquet Cell (4)
337,NMLCL000416,Layer 4 Burst Stuttering Double Bouquet Cell (5)
338,NMLCL000417,Layer 5 Burst Stuttering Double Bouquet Cell (1)
339,NMLCL000418,Layer 5 Burst Stuttering Double Bouquet Cell (2)
340,NMLCL000419,Layer 5 Burst Stuttering Double Bouquet Cell (3)
341,NMLCL000420,Layer 5 Burst Stuttering Double Bouquet Cell (4)
342,NMLCL000421,Layer 5 Burst Stuttering Double Bouquet Cell (5)
343,NMLCL000422,Layer 5 Burst Stuttering Martinotti Cell (1)
344,NMLCL000423,Layer 5 Burst Stuttering Martinotti Cell (2)
345,NMLCL000424,Layer 5 Burst Stuttering Martinotti Cell (3)
346,NMLCL000425,Layer 5 Burst Stuttering Martinotti Cell (4)
347,NMLCL000426,Layer 5 Burst Stuttering Martinotti Cell (5)
348,NMLCL000427,Layer 5 Burst Stuttering Nest Basket Cell (1)
349,NMLCL000428,Layer 5 Burst Stuttering Nest Basket Cell (2)
350,NMLCL000429,Layer 5 Burst Stuttering Nest Basket Cell (3)
351,NMLCL000430,Layer 5 Burst Stuttering Nest Basket Cell (4)
352,NMLCL000431,Layer 5 Burst Stuttering Nest Basket Cell (5)
353,NMLCL000432,Layer 6 Burst Stuttering Double Bouquet Cell (1)
354,NMLCL000433,Layer 6 Burst Stuttering Double Bouquet Cell (2)
355,NMLCL000434,Layer 6 Burst Stuttering Double Bouquet Cell (3)
356,NMLCL000435,Layer 6 Burst Stuttering Double Bouquet Cell (4)
357,NMLCL000436,Layer 6 Burst Stuttering Double Bouquet Cell (5)
358,NMLCL000437,Layer 6 Burst Stuttering Large Basket Cell (1)
359,NMLCL000438,Layer 6 Burst Stuttering Large Basket Cell (2)
360,NMLCL000439,Layer 6 Burst Stuttering Large Basket Cell (3)
361,NMLCL000440,Layer 6 Burst Stuttering Large Basket Cell (4)
362,NMLCL000441,Layer 6 Burst Stuttering Large Basket Cell (5)
363,NMLCL000442,Layer 6 Burst Stuttering Martinotti Cell (1)
364,NMLCL000443,Layer 6 Burst Stuttering Martinotti Cell (2)
365,NMLCL000444,Layer 6 Burst Stuttering Martinotti Cell (3)
366,NMLCL000445,Layer 6 Burst Stuttering Martinotti Cell (4)
367,NMLCL000446,Layer 6 Burst Stuttering Martinotti Cell (5)
368,NMLCL000447,Layer 6 Burst Stuttering Nest Basket Cell (1)
369,NMLCL000448,Layer 6 Burst Stuttering Nest Basket Cell (2)
370,NMLCL000449,Layer 6 Burst Stuttering Nest Basket Cell (3)
371,NMLCL000450,Layer 6 Burst Stuttering Nest Basket Cell (4)
